Aegwynn Gwixa-Aegwynn Gwixh-Aegwynn Aegwynn
AeriePeak Gwixa-AeriePeak Gwixh-AeriePeak AeriePeak
Agamaggan Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Agamaggan
Aggra(Português) Gwixa-GrimBatol Gwixh-GrimBatol Aggra(Português)
Aggra Gwixa-GrimBatol Gwixh-GrimBatol Aggra(Português)
Aggra(Portugues) Gwixa-GrimBatol Gwixh-GrimBatol Aggra(Português)
Aggramar Gwixa-Aggramar Gwixh-Aggramar Aggramar
Ahn'Qiraj Gwixa-LaughingSkull Gwixh-LaughingSkull Ahn'Qiraj
AhnQiraj Gwixa-LaughingSkull Gwixh-LaughingSkull Ahn'Qiraj
Al'Akir Gwixa-Al'Akir Gwixh-Al'Akir Al'Akir
AlAkir Gwixa-Al'Akir Gwixh-Al'Akir Al'Akir
Alexstrasza Gwixa-Alexstrasza Gwixh-Alexstrasza Alexstrasza
Alleria Gwixa-Rexxar Gwixh-Rexxar Alleria
Alonsus Gwixa-Anachronos Gwixh-Anachronos Alonsus
Aman'Thul Gwixa-Aman'Thul Gwixh-Aman'Thul Aman'Thul
Amanthul Gwixa-Aman'Thul Gwixh-Aman'Thul Aman'Thul
Ambossar Gwixa-Ambossar Gwixh-Ambossar Ambossar
Anachronos Gwixa-Anachronos Gwixh-Anachronos Anachronos
Anetheron Gwixa-Gul'dan Gwixh-Gul'dan Anetheron
Antonidas Gwixa-Antonidas Gwixh-Antonidas Antonidas
Anub'arak Gwixa-Zuluhed Gwixh-Zuluhed Anub'arak
Anubarak Gwixa-Zuluhed Gwixh-Zuluhed Anub'arak
Arakarahm Gwixa-Kael'thas Gwixh-Kael'thas Arakarahm
Arathi Gwixa-Illidan Gwixh-Illidan Arathi
Arathor Gwixa-Hellfire Gwixstolen-Hellfire Arathor
Archimonde Gwixstolen-Archimonde Tokenrealm-Archimonde Archimonde
Area52 Gwixa-Area52 Gwixh-Area52 Area52
Argentdawn Gwixa-ArgentDawn Gwixh-ArgentDawn Argentdawn
Arthas Gwixa-Blutkessel Gwixh-Blutkessel Arthas
Arygos Gwixa-Khaz'goroth Gwixh-Khaz'goroth Arygos
Aszune Gwixa-Shadowsong Gwixh-Shadowsong Aszune
Auchindoun Gwixa-Jaedenar Gwixh-Jaedenar Auchindoun
AzjolNerub Gwixa-AzjolNerub Gwixh-AzjolNerub AzjolNerub
Azjol-Nerub Gwixa-AzjolNerub Gwixh-AzjolNerub AzjolNerub
Azshara Gwixa-Azshara Gwixh-Azshara Azshara
Azuremyst Gwixa-Azuremyst Gwixh-Azuremyst Azuremyst
Baelgun Gwixa-Baelgun Gwixh-Baelgun Baelgun
Balnazzar Gwixa-LaughingSkull Gwixh-LaughingSkull Balnazzar
Blackhand Gwixa-Blackhand Gwixh-Blackhand Blackhand
Blackmoore Gwixa-Blackmoore Gwixh-Blackmoore Blackmoore
Blackrock Gwixa-Blackrock Gwixh-Blackrock Blackrock
Blade'sEdge Gwixa-Blade'sEdge Gwixh-Blade'sEdge Blade'sEdge
BladesEdge Gwixa-Blade'sEdge Gwixh-Blade'sEdge Blade'sEdge
Bladefist Gwixh-Frostwhisper Bladefist
Bloodfeather Gwixa-ShatteredHand Gwixh-ShatteredHand Bloodfeather
Bloodhoof Gwixa-Bloodhoof Gwixh-Bloodhoof Bloodhoof
Bloodscalp Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Bloodscalp
Blutkessel Gwixa-Blutkessel Gwixh-Blutkessel Blutkessel
Boulderfist Gwixa-LaughingSkull Gwixh-LaughingSkull Boulderfist
